timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1658568225063,492,Cart-0,301,Moved Permanently,HomePAge 1-12,text,true,,392,163,20,20,http://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,492,0,0
1658568225555,1042,Cart-1,200,OK,HomePAge 1-12,text,true,,103572,163,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,495,0,0
1658568217918,9052,Homepage,200,OK,HomePAge 1-6,text,true,,367776,236,20,20,https://www.flipkart.com/,601,0,0
1658568217918,601,Homepage-0,301,Moved Permanently,HomePAge 1-6,text,true,,347,118,20,20,http://www.flipkart.com/,601,0,0
1658568218520,8450,Homepage-1,200,OK,HomePAge 1-6,text,true,,367429,118,20,20,https://www.flipkart.com/,1667,0,0
1658568225662,1827,Cart,200,OK,HomePAge 1-15,text,true,,103908,326,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,284,0,0
1658568225662,284,Cart-0,301,Moved Permanently,HomePAge 1-15,text,true,,392,163,20,20,http://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,284,0,0
1658568225946,1543,Cart-1,200,OK,HomePAge 1-15,text,true,,103516,163,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,759,0,0
1658568226268,2142,HTTP Request,200,OK,HomePAge 1-8,text,true,,10191,358,20,20,https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,749,0,0
1658568226268,749,HTTP Request-0,301,Moved Permanently,HomePAge 1-8,text,true,,392,179,20,20,http://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,749,0,0
1658568227018,1392,HTTP Request-1,200,OK,HomePAge 1-8,text,true,,9799,179,20,20,https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,1392,0,0
1658568224650,3880,Homepage,200,OK,HomePAge 1-9,text,true,,357669,236,20,20,https://www.flipkart.com/,492,0,0
1658568224650,492,Homepage-0,301,Moved Permanently,HomePAge 1-9,text,true,,347,118,20,20,http://www.flipkart.com/,492,0,0
1658568225142,3388,Homepage-1,200,OK,HomePAge 1-9,text,true,,357322,118,20,20,https://www.flipkart.com/,579,0,0
1658568226598,2316,HTTP Request,200,OK,HomePAge 1-12,text,true,,10191,358,20,20,https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,858,0,0
1658568226598,858,HTTP Request-0,301,Moved Permanently,HomePAge 1-12,text,true,,392,179,20,20,http://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,858,0,0
1658568227457,1457,HTTP Request-1,200,OK,HomePAge 1-12,text,true,,9799,179,20,20,https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,1451,0,0
1658568220699,8837,HTTP Request,200,OK,HomePAge 1-17,text,true,,10191,358,20,20,https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,1005,0,0
1658568220699,1005,HTTP Request-0,301,Moved Permanently,HomePAge 1-17,text,true,,392,179,20,20,http://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,1005,0,0
1658568221705,7831,HTTP Request-1,200,OK,HomePAge 1-17,text,true,,9799,179,20,20,https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,7831,0,0
1658568225682,3951,Cart,200,OK,HomePAge 1-10,text,true,,114961,326,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,916,0,325
1658568225682,916,Cart-0,301,Moved Permanently,HomePAge 1-10,text,true,,392,163,20,20,http://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,916,0,325
1658568226598,3035,Cart-1,200,OK,HomePAge 1-10,text,true,,114569,163,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,1402,0,0
1658568226091,3810,Cart,200,OK,HomePAge 1-7,text,true,,113024,326,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,838,0,0
